,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,5,0,3,0,1,0,33,28,5,0,0,0,12,0,0,1
1,2,0,10,0,1,0,7,9,25,0,0,0,0,0,0,1
2,7,0,22,0,9,0,4,1,32,0,0,0,0,0,0,5
3,2,0,0,2,0,0,0,0,34,25,0,7,0,0,0,8
4,3,0,0,0,22,0,0,0,0,0,0,0,0,2,0,29
5,16,0,0,2,0,0,0,0,27,1,0,0,0,0,0,35
6,12,0,0,0,0,1,30,0,10,2,0,0,0,26,0,3
7,3,0,0,0,0,0,0,0,34,30,0,6,0,0,0,3
8,6,0,2,0,2,0,27,24,8,0,0,0,6,0,0,3
9,2,2,0,0,0,0,0,0,20,21,21,0,1,0,2,1
10,13,1,3,0,2,0,26,4,1,0,0,0,22,0,0,3
11,5,0,5,0,7,0,16,16,28,0,0,0,0,0,1,3
12,3,0,0,0,0,0,5,0,0,13,0,0,23,0,0,13
13,9,0,5,0,2,0,28,18,5,0,0,0,15,0,0,1
14,3,0,8,0,1,0,32,20,13,0,0,0,13,0,0,6
15,3,11,2,7,0,5,18,0,12,9,1,0,14,0,0,2
16,1,2,3,15,1,3,15,0,10,29,1,0,1,3,0,7
17,1,0,3,0,0,4,24,0,25,10,0,0,0,3,0,3
18,1,6,0,0,1,0,0,1,24,0,13,4,0,0,0,7
19,2,1,6,0,0,2,16,0,19,7,0,0,1,6,2,2
20,28,0,0,3,0,0,0,0,20,0,0,0,0,0,0,37
21,17,0,0,0,0,0,2,0,0,13,0,0,19,0,0,22
22,1,1,0,0,4,0,0,1,11,0,25,23,0,0,0,1
23,12,2,4,0,2,0,29,5,0,0,0,1,29,1,1,1
24,7,0,0,6,0,0,2,0,25,11,0,2,0,0,0,8
25,7,0,20,0,4,0,0,28,0,0,0,0,0,0,0,7
26,2,1,0,3,0,0,1,0,30,30,0,6,0,0,0,7
27,3,0,4,0,21,23,0,16,0,0,0,0,0,0,0,5
28,5,0,0,0,2,0,12,18,13,0,0,0,2,0,0,2
29,1,0,8,2,2,0,20,14,18,0,0,0,7,0,0,2
30,26,4,1,0,9,0,11,6,2,0,0,5,38,0,0,2
31,4,0,2,0,1,0,35,29,13,1,0,0,6,0,0,2
32,6,0,2,0,0,0,43,20,4,0,0,0,26,0,0,1
33,1,0,1,0,2,0,38,34,5,0,0,0,6,0,0,1
34,14,0,0,7,0,0,1,0,20,3,0,0,0,0,0,26
35,1,0,0,3,0,0,16,0,19,6,0,0,11,0,0,1
36,29,1,3,0,0,0,13,0,6,0,0,0,0,30,1,1
37,1,0,0,1,25,0,18,0,17,0,0,5,8,0,0,1
38,2,5,1,0,2,5,28,0,31,16,3,0,3,0,0,1
39,1,0,0,0,4,0,40,34,7,0,0,0,5,0,0,1
40,1,0,0,0,6,0,0,0,1,0,17,0,21,0,41,1
41,3,0,2,0,0,1,32,0,24,8,0,0,0,10,1,3
42,2,0,0,0,0,0,2,0,0,23,0,0,24,0,0,13
43,2,0,2,0,32,28,0,9,0,0,0,3,0,0,0,2
44,1,0,0,0,0,0,0,0,0,0,0,20,0,23,0,18
45,5,0,0,0,14,0,0,0,0,0,0,1,0,4,0,18
46,1,4,0,0,0,0,1,0,41,28,11,0,1,0,0,1
47,1,0,0,1,0,0,1,0,34,27,0,3,0,0,0,5
